exp,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,class2_precision,class2_recall,class2_f1,class2_support,class3_precision,class3_recall,class3_f1,class3_support,accuracy,macro_precision,macro_recall,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,train_loss,train_acc,test_loss,test_acc
1,0.8076923076923077,0.75,0.7777777777777778,56.0,0.7586206896551724,0.7857142857142857,0.7719298245614035,56.0,0.7758620689655172,0.7894736842105263,0.782608695652174,57.0,0.7931034482758621,0.8070175438596491,0.8,57.0,0.7831858407079646,0.7838196286472149,0.7830513784461153,0.7830790744978389,226.0,0.7838254970540597,0.7831858407079646,0.7831518645272922,226.0,0.18423251448006467,0.9385775862068966,0.7150984592735767,0.80859375
2,0.796875,0.9107142857142857,0.85,56.0,0.9333333333333333,0.75,0.8316831683168316,56.0,0.7142857142857143,0.7894736842105263,0.75,57.0,0.7962962962962963,0.7543859649122807,0.7747747747747747,57.0,0.8008849557522124,0.810197585978836,0.8011434837092732,0.8016144857729016,226.0,0.8097116870346959,0.8008849557522124,0.801267343309313,226.0,0.22665194807381467,0.9073275862068966,0.6147901369258761,0.82421875
3,0.84,0.75,0.7924528301886793,56.0,0.8269230769230769,0.7678571428571429,0.7962962962962963,56.0,0.7692307692307693,0.8771929824561403,0.819672131147541,57.0,0.7627118644067796,0.7894736842105263,0.7758620689655172,57.0,0.7964601769911505,0.7997164276401565,0.7961309523809523,0.7960708316495085,226.0,0.7994177983408521,0.7964601769911505,0.7960858428743494,226.0,0.23005834119073276,0.9040948275862069,0.7699236907064915,0.8203125
4,0.8571428571428571,0.75,0.8,56.0,0.8103448275862069,0.8392857142857143,0.8245614035087719,56.0,0.8035714285714286,0.7894736842105263,0.7964601769911505,57.0,0.7619047619047619,0.8421052631578947,0.8,57.0,0.8053097345132744,0.8082409688013137,0.8052161654135339,0.8052553951249806,226.0,0.8080152796547364,0.8053097345132744,0.8051932242698531,226.0,0.24944963126346983,0.9073275862068966,0.6356563814915717,0.828125
5,0.8333333333333334,0.7142857142857143,0.7692307692307693,56.0,0.7014925373134329,0.8392857142857143,0.7642276422764228,56.0,0.7704918032786885,0.8245614035087719,0.7966101694915254,57.0,0.84,0.7368421052631579,0.7850467289719626,57.0,0.7787610619469026,0.7863294184813636,0.7787437343358397,0.77877882749267,226.0,0.7864968209871865,0.7787610619469026,0.7788854613133698,226.0,0.25097866716056033,0.9094827586206896,0.7356577571481466,0.8046875
6,0.8627450980392157,0.7857142857142857,0.822429906542056,56.0,0.8431372549019608,0.7678571428571429,0.8037383177570093,56.0,0.7142857142857143,0.8771929824561403,0.7874015748031497,57.0,0.8148148148148148,0.7719298245614035,0.7927927927927928,57.0,0.8008849557522124,0.8087457205104265,0.8006735588972431,0.8015906479737519,226.0,0.8083546102806904,0.8008849557522124,0.8014889359013999,226.0,0.18771046605603448,0.9170258620689655,0.7183227930217981,0.82421875
7,0.8035714285714286,0.8035714285714286,0.8035714285714286,56.0,0.7931034482758621,0.8214285714285714,0.8070175438596491,56.0,0.7457627118644068,0.7719298245614035,0.7586206896551724,57.0,0.8301886792452831,0.7719298245614035,0.8,57.0,0.7920353982300885,0.7931565669892451,0.7922149122807016,0.7923024155215626,226.0,0.7931107185694717,0.7920353982300885,0.7921874414446247,226.0,0.27081088362068967,0.9008620689655172,0.694253345951438,0.81640625
8,0.7843137254901961,0.7142857142857143,0.7476635514018691,56.0,0.75,0.8035714285714286,0.7758620689655172,56.0,0.8461538461538461,0.7719298245614035,0.8073394495412844,57.0,0.6507936507936508,0.7192982456140351,0.6833333333333333,57.0,0.7522123893805309,0.7578153056094232,0.7522713032581454,0.7535496008105012,226.0,0.7577326369622049,0.7522123893805309,0.7534769175417116,226.0,0.2926404229525862,0.884698275862069,0.8028253660886548,0.78125
9,0.8333333333333334,0.7142857142857143,0.7692307692307693,56.0,0.7666666666666667,0.8214285714285714,0.7931034482758621,56.0,0.8,0.7719298245614035,0.7857142857142857,57.0,0.6666666666666666,0.7368421052631579,0.7,57.0,0.7610619469026548,0.7666666666666667,0.7611215538847117,0.7620121258052293,226.0,0.7663716814159293,0.7610619469026548,0.7618426126817949,226.0,0.18136070514547414,0.9461206896551724,0.7045311728143133,0.7890625
10,0.7966101694915254,0.8392857142857143,0.8173913043478261,56.0,0.8627450980392157,0.7857142857142857,0.822429906542056,56.0,0.8245614035087719,0.8245614035087719,0.8245614035087719,57.0,0.7966101694915254,0.8245614035087719,0.8103448275862069,57.0,0.8185840707964602,0.8201317101327597,0.8185307017543859,0.8186818604962153,226.0,0.820047232932471,0.8185840707964602,0.8186709866471116,226.0,0.1822404532596983,0.9450431034482759,0.5890775267034769,0.83984375
