gen,nevals,avg,std,min,max,best
0,25,0.69875,0.045222432037375,0.5625,0.76171875,"[352, 113, 73]"
1,15,0.73765625,0.015376143250178179,0.69921875,0.76171875,"[303, 132, 194]"
2,22,0.715625,0.047315637280396,0.5859375,0.7734375,"[230, 166, 155]"
3,22,0.741875,0.033944750606684386,0.6640625,0.8125,"[225, 147, 115]"
4,22,0.75328125,0.032507511151270874,0.65234375,0.80859375,"[225, 147, 115]"
5,20,0.75953125,0.03707572487490973,0.69140625,0.80859375,"[225, 147, 115]"
6,20,0.7840625,0.03433093766925104,0.68359375,0.80859375,"[225, 147, 115]"
7,22,0.79578125,0.02074421041218489,0.75,0.80859375,"[225, 147, 115]"
8,24,0.80109375,0.01890947803021014,0.7421875,0.80859375,"[225, 147, 115]"
9,17,0.80609375,0.008477912478906585,0.77734375,0.80859375,"[225, 147, 115]"
10,22,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
11,18,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
12,20,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
13,24,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
14,18,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
15,22,0.80671875,0.00918558653543692,0.76171875,0.80859375,"[225, 147, 115]"
16,22,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
17,22,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
18,20,0.8025,0.01819088241743649,0.7421875,0.80859375,"[225, 147, 115]"
19,20,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
20,24,0.80109375,0.020400051700302135,0.7421875,0.80859375,"[225, 147, 115]"
21,17,0.80375,0.016509348677340364,0.7421875,0.80859375,"[225, 147, 115]"
22,22,0.80609375,0.008477912478906585,0.77734375,0.80859375,"[225, 147, 115]"
23,18,0.80546875,0.01059739059863323,0.76953125,0.80859375,"[225, 147, 115]"
24,16,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
25,22,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
26,16,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
27,22,0.80109375,0.020400051700302135,0.7421875,0.80859375,"[225, 147, 115]"
28,18,0.80609375,0.008477912478906585,0.77734375,0.80859375,"[225, 147, 115]"
29,22,0.80609375,0.008477912478906585,0.77734375,0.80859375,"[225, 147, 115]"
30,20,0.80078125,0.019232083789204955,0.7421875,0.80859375,"[225, 147, 115]"
31,18,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
32,22,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
33,20,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
34,18,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
35,20,0.80734375,0.0061237243569579455,0.77734375,0.80859375,"[225, 147, 115]"
36,17,0.80546875,0.01059739059863323,0.76953125,0.80859375,"[225, 147, 115]"
37,19,0.79828125,0.020067026358556467,0.7421875,0.80859375,"[225, 147, 115]"
38,16,0.80609375,0.008477912478906585,0.77734375,0.80859375,"[225, 147, 115]"
39,18,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
40,22,0.80078125,0.019232083789204955,0.7421875,0.80859375,"[225, 147, 115]"
41,21,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
42,22,0.80109375,0.020400051700302135,0.7421875,0.80859375,"[225, 147, 115]"
43,24,0.80078125,0.019232083789204955,0.7421875,0.80859375,"[225, 147, 115]"
44,17,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
45,20,0.80328125,0.018015564017676493,0.7421875,0.80859375,"[225, 147, 115]"
46,20,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
47,22,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
48,20,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
49,16,0.80859375,0.0,0.80859375,0.80859375,"[225, 147, 115]"
50,24,0.80609375,0.008477912478906585,0.77734375,0.80859375,"[225, 147, 115]"
