b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
399,148,424,1876486875,0.6699750957353082,0.6508728850274921,0.53125,0.5761130365235938,0,207.51827081898227,"[937.08, 593.06, 972.14]"
42,8,303,275843590,0.5059358452593551,0.5135535506665289,0.79375,0.35392535392535396,0,209.80155962798744,"[452.13, 407.48, 803.78]"
157,216,194,1464536927,0.7930682786948772,0.7985042238239168,0.3625,0.6987012987012987,0,208.8555132308975,"[605.14, 684.82, 655.02]"
271,183,66,2543312446,0.7355765945719414,0.7164476910859459,0.49375,0.5920889987639061,0,204.43822296895087,"[759.83, 640.16, 483.81]"
371,98,136,421886554,0.7417985067097165,0.7329885985268894,0.4125,0.6848424212106052,0,204.680289699696,"[897.98, 526.26, 576.97]"
227,7,113,3816806720,0.6532468355297405,0.6388271482323716,0.54375,0.5836565813291957,0,206.40492059802637,"[699.77, 406.17, 546.24]"
317,232,12,3750893005,0.6937129237288135,0.680667372881356,0.45625,0.6724181045261315,0,204.64127723965794,"[823.09, 706.57, 412.72]"
54,43,363,1263020552,0.6560348696019428,0.6394287453738674,0.6125,0.5283882783882783,0,205.77952027507126,"[467.96, 453.45, 886.84]"
255,215,10,1060773885,0.6247930789497054,0.6012914064118884,0.625,0.4963655244029076,0,203.18551033455878,"[737.93, 683.47, 410.1]"
262,321,375,3177895377,0.7791521057165612,0.7555196159701791,0.35625,0.7377916766899206,0,204.6448401310481,"[747.5, 828.61, 903.55]"
220,183,394,3492582744,0.7006020075963104,0.6733487068185928,0.43125,0.7194437667723834,0,205.02235624659806,"[690.25, 640.16, 930.08]"
29,105,400,3500783542,0.7426850377345426,0.713055920976713,0.45,0.6414728682170543,0,205.39858251903206,"[435.03, 535.58, 938.48]"
18,301,188,4175355258,0.5724733542284228,0.5405834798860213,0.69375,0.4566057172289467,0,204.86894271615893,"[420.58, 801.03, 646.91]"
336,88,317,1954998993,0.6581451612903226,0.6524193548387096,0.55625,0.5570117955439056,0,205.97587139485404,"[849.36, 512.97, 823.09]"
110,376,185,1536297139,0.7142410714285715,0.6992559523809524,0.46875,0.6417255666585424,0,209.60897091403604,"[542.24, 904.95, 642.86]"
289,389,440,2318452214,0.6706178126922531,0.6552332276434307,0.49375,0.6627122586648058,0,206.4124631183222,"[784.52, 923.09, 994.65]"
