Experiment Number,Test Accuracy,Test Loss,Macro F1,Weighted F1,Bands
1,0.8086,0.7151,0.7831,0.7832,"161, 174, 112"
2,0.8242,0.6148,0.8016,0.8013,"110, 97, 172"
3,0.8203,0.7699,0.7961,0.7961,"231, 150, 277"
4,0.8281,0.6357,0.8053,0.8052,"125, 156, 84"
5,0.8047,0.7357,0.7788,0.7789,"215, 147, 173"
6,0.8242,0.7183,0.8016,0.8015,"94, 156, 188"
7,0.8164,0.6943,0.7923,0.7922,"274, 447, 109"
8,0.7812,0.8028,0.7535,0.7535,"324, 226, 339"
9,0.7891,0.7045,0.7620,0.7618,"231, 104, 405"
10,0.8398,0.5891,0.8187,0.8187,"220, 113, 78"
